mode,topk,w_prey,w_cat,w_count,prey_count_threshold,threshold,tp,fp,fn,tn,n,precision,recall,f1,objective
topk_mean,2,0.8,-0.3,0.0,0.3,0.34,24,3,2,380,409,0.8888888888888888,0.9230769230769231,0.9056603773584906,13.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.36,24,3,2,380,409,0.8888888888888888,0.9230769230769231,0.9056603773584906,13.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.38,24,3,2,380,409,0.8888888888888888,0.9230769230769231,0.9056603773584906,13.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.4,24,3,2,380,409,0.8888888888888888,0.9230769230769231,0.9056603773584906,13.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.42,24,3,2,380,409,0.8888888888888888,0.9230769230769231,0.9056603773584906,13.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.44,24,2,2,381,409,0.9230769230769231,0.9230769230769231,0.9230769230769231,12.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.46,24,1,2,382,409,0.96,0.9230769230769231,0.9411764705882353,11.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.48,24,1,2,382,409,0.96,0.9230769230769231,0.9411764705882353,11.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.5,17,1,9,382,409,0.9444444444444444,0.6538461538461539,0.7727272727272727,46.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.52,2,0,24,383,409,1.0,0.07692307692307693,0.14285714285714288,120.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.54,2,0,24,383,409,1.0,0.07692307692307693,0.14285714285714288,120.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.56,2,0,24,383,409,1.0,0.07692307692307693,0.14285714285714288,120.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.58,2,0,24,383,409,1.0,0.07692307692307693,0.14285714285714288,120.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.6,2,0,24,383,409,1.0,0.07692307692307693,0.14285714285714288,120.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.62,2,0,24,383,409,1.0,0.07692307692307693,0.14285714285714288,120.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.64,2,0,24,383,409,1.0,0.07692307692307693,0.14285714285714288,120.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.66,2,0,24,383,409,1.0,0.07692307692307693,0.14285714285714288,120.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.68,2,0,24,383,409,1.0,0.07692307692307693,0.14285714285714288,120.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.7,2,0,24,383,409,1.0,0.07692307692307693,0.14285714285714288,120.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.72,2,0,24,383,409,1.0,0.07692307692307693,0.14285714285714288,120.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.74,2,0,24,383,409,1.0,0.07692307692307693,0.14285714285714288,120.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.76,1,0,25,383,409,1.0,0.038461538461538464,0.07407407407407407,125.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.78,1,0,25,383,409,1.0,0.038461538461538464,0.07407407407407407,125.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.8,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.82,0,0,26,383,409,0.0,0.0,0.0,130.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.84,0,0,26,383,409,0.0,0.0,0.0,130.0
