burst_id,frame_idx,in_x,in_s
20260507_232821_gen12,5,1,0
20260508_040939_gen2,4,1,0
20260508_040939_gen2,6,1,0
20260508_040939_gen2,7,1,0
20260508_201948_gen1,4,0,1
20260508_201948_gen1,5,0,1
20260508_201948_gen1,6,0,1
20260508_201948_gen1,7,0,1
20260508_201948_gen1,8,0,1
20260508_201948_gen1,9,0,1
20260508_202100_gen2,0,0,1
20260508_203043_gen6,3,1,0
20260508_203043_gen6,4,1,0
20260508_203058_gen7,0,1,0
20260508_203058_gen7,1,1,0
20260508_203058_gen7,2,1,0
20260508_203058_gen7,6,0,1
20260508_204850_gen3,0,1,0
20260508_204953_gen5,0,1,0
20260508_204953_gen5,6,0,1
20260508_204953_gen5,7,0,1
20260508_204953_gen5,8,0,1
20260508_204953_gen5,9,0,1
20260508_205337_gen11,1,1,0
20260508_205337_gen11,5,1,0
20260508_205337_gen11,9,1,0
20260508_205406_gen13,4,0,1
20260508_205406_gen13,8,0,1
20260508_205406_gen13,9,0,1
20260508_222748_gen2,2,1,0
20260508_231843_gen5,0,1,0
20260508_231912_gen6,3,1,0
20260508_234256_gen1,7,1,0
20260508_234256_gen1,9,0,1
20260509_021325_gen9,0,1,0
20260509_051223_gen1,6,1,0
20260509_051416_gen2,2,1,0
20260509_051416_gen2,3,0,1
20260509_051416_gen2,5,1,0
20260509_051416_gen2,9,1,0
20260509_070630_gen1,2,0,1
20260509_071449_gen2,0,1,0
20260509_071449_gen2,3,1,0
20260509_071449_gen2,5,1,0
20260509_071449_gen2,6,1,0
20260509_081048_gen5,3,1,0
20260509_081048_gen5,5,1,0
20260509_081048_gen5,6,1,0
20260509_081048_gen5,9,0,1
20260509_081259_gen6,0,1,0
20260509_081259_gen6,7,1,0
20260509_084539_gen7,1,1,0
20260509_084539_gen7,9,1,0
20260509_085647_gen8,2,1,0
20260509_085647_gen8,4,1,0
20260509_185211_gen1,9,1,0
20260509_194609_gen2,4,0,1
20260509_194609_gen2,5,0,1
20260509_194609_gen2,7,0,1
20260509_210615_gen1,2,1,0
20260509_210615_gen1,3,1,0
20260509_210615_gen1,6,1,0
20260509_210615_gen1,8,1,0
20260509_232132_gen1,0,1,0
20260509_232132_gen1,1,1,0
20260509_232205_gen2,0,1,0
20260509_232205_gen2,1,1,0
20260509_232205_gen2,2,0,1
20260509_232205_gen2,3,1,0
20260510_032039_gen1,0,1,0
20260510_032039_gen1,2,1,0
20260510_032039_gen1,3,1,0
20260510_080623_gen2,8,0,1
20260510_083738_gen4,5,0,1
20260510_083738_gen4,9,1,0
20260510_085242_gen5,1,1,0
20260510_085400_gen7,8,1,0
20260510_085716_gen8,8,1,0
20260510_085847_gen9,1,0,1
20260510_085847_gen9,4,1,0
20260510_085847_gen9,7,0,1
20260510_085847_gen9,8,1,0
20260510_095157_gen1,4,1,0
20260510_095157_gen1,5,1,0
20260510_095227_gen2,4,1,0
20260510_095313_gen4,6,1,0
20260510_095330_gen5,0,0,1
20260510_095330_gen5,3,0,1
20260510_095330_gen5,6,0,1
20260510_095330_gen5,8,1,0
20260510_095439_gen6,1,1,0
20260510_100729_gen7,4,1,0
20260510_101324_gen8,2,0,1
20260510_101324_gen8,5,1,0
20260510_101324_gen8,7,1,0
20260510_101324_gen8,8,1,0
20260510_101324_gen8,9,1,0
20260510_101604_gen9,8,1,0
20260510_101700_gen10,9,0,1
20260510_121527_gen13,7,1,0
20260510_121527_gen13,8,1,0
20260510_133208_gen15,3,0,1
20260510_133208_gen15,7,0,1
20260510_134637_gen16,0,1,0
20260510_134637_gen16,4,1,0
20260510_175156_gen1,1,1,0
20260510_180523_gen2,5,1,0
20260510_180523_gen2,8,1,0
20260510_185156_gen3,5,0,1
20260510_185156_gen3,6,0,1
20260510_185900_gen4,6,0,1
20260510_185941_gen5,4,0,1
20260510_185941_gen5,5,0,1
20260510_185941_gen5,6,0,1
20260510_185941_gen5,7,0,1
20260510_185941_gen5,9,1,0
20260510_194106_gen9,0,1,0
20260510_194452_gen11,0,0,1
20260510_194452_gen11,2,0,1
20260510_194452_gen11,3,1,0
20260510_213205_gen1,1,1,0
20260510_213205_gen1,2,1,0
20260510_213205_gen1,3,1,0
20260510_213205_gen1,4,1,0
20260510_213205_gen1,6,1,0
20260511_002616_gen1,0,1,0
20260511_002616_gen1,1,1,0
20260511_002616_gen1,3,1,0
20260511_002616_gen1,5,1,0
20260511_002616_gen1,7,1,0
20260511_002616_gen1,8,1,0
20260511_045246_gen1,3,1,0
20260511_045246_gen1,5,1,0
20260511_045246_gen1,6,1,0
20260511_045246_gen1,7,1,0
20260511_045344_gen5,0,0,1
20260511_045344_gen5,7,1,0
20260511_050035_gen6,4,1,0
20260511_050035_gen6,5,1,0
20260511_050035_gen6,6,1,0
20260511_050035_gen6,7,1,0
20260511_061841_gen1,5,0,1
20260511_061841_gen1,7,0,1
20260511_061841_gen1,8,0,1
20260511_070958_gen4,0,0,1
20260511_070958_gen4,7,0,1
20260511_161713_gen1,0,0,1
20260511_161713_gen1,1,0,1
20260511_161713_gen1,2,0,1
20260511_161713_gen1,3,0,1
20260511_161713_gen1,8,0,1
20260511_161956_gen2,3,1,0
20260511_161956_gen2,5,0,1
20260511_163027_gen3,7,0,1
20260511_163027_gen3,8,0,1
20260511_163227_gen4,4,1,0
20260511_182952_gen7,1,0,1
20260511_182952_gen7,2,0,1
20260511_182952_gen7,6,1,0
20260511_191050_gen10,1,1,0
20260511_191050_gen10,2,1,0
20260511_191050_gen10,3,1,0
20260511_191050_gen10,4,1,0
20260511_191050_gen10,5,1,0
20260511_191050_gen10,6,1,0
20260511_191050_gen10,7,0,1
20260511_195434_gen1,4,0,1
20260511_195434_gen1,5,0,1
20260511_195434_gen1,6,0,1
20260511_195434_gen1,7,1,0
20260511_201518_gen1,0,1,0
20260511_201518_gen1,1,1,0
20260511_201518_gen1,2,1,0
20260511_214438_gen2,7,1,0
20260511_214452_gen3,2,1,0
20260511_225534_gen1,0,1,0
20260511_225534_gen1,1,1,0
20260511_232617_gen2,0,1,0
20260511_232617_gen2,2,1,0
20260511_232617_gen2,9,1,0
20260511_233943_gen1,1,1,0
20260511_233943_gen1,2,1,0
20260511_233943_gen1,3,1,0
20260511_233943_gen1,4,1,0
20260511_233943_gen1,5,1,0
20260511_233943_gen1,7,1,0
20260512_013740_gen1,1,1,0
20260512_013740_gen1,2,1,0
