mode,topk,w_prey,w_cat,w_count,prey_count_threshold,threshold,tp,fp,fn,tn,n,precision,recall,f1,objective
topk_mean,2,0.8,-0.3,0.0,0.3,0.36,24,2,3,360,389,0.9230769230769231,0.8888888888888888,0.9056603773584906,17.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.38,24,1,3,361,389,0.96,0.8888888888888888,0.923076923076923,16.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.4,24,0,3,362,389,1.0,0.8888888888888888,0.9411764705882353,15.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.42,24,0,3,362,389,1.0,0.8888888888888888,0.9411764705882353,15.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.44,24,0,3,362,389,1.0,0.8888888888888888,0.9411764705882353,15.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.46,24,0,3,362,389,1.0,0.8888888888888888,0.9411764705882353,15.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.48,24,0,3,362,389,1.0,0.8888888888888888,0.9411764705882353,15.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.5,6,0,21,362,389,1.0,0.2222222222222222,0.3636363636363636,105.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.52,2,0,25,362,389,1.0,0.07407407407407407,0.13793103448275862,125.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.54,2,0,25,362,389,1.0,0.07407407407407407,0.13793103448275862,125.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.56,2,0,25,362,389,1.0,0.07407407407407407,0.13793103448275862,125.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.58,2,0,25,362,389,1.0,0.07407407407407407,0.13793103448275862,125.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.6,2,0,25,362,389,1.0,0.07407407407407407,0.13793103448275862,125.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.62,1,0,26,362,389,1.0,0.037037037037037035,0.07142857142857142,130.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.64,1,0,26,362,389,1.0,0.037037037037037035,0.07142857142857142,130.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.66,1,0,26,362,389,1.0,0.037037037037037035,0.07142857142857142,130.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.68,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.7,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.72,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.74,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.76,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.78,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.8,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.82,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.84,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.86,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.88,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.9,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.92,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.94,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.96,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,2,0.8,-0.3,0.0,0.3,0.98,0,0,27,362,389,0.0,0.0,0.0,135.0
topk_mean,2,0.8,-0.3,0.0,0.3,1.0,0,0,27,362,389,0.0,0.0,0.0,135.0
